Zip,Pop,Total,PerOfPop
80123,2670,"46,816",5.7
80127,1962,"44,417",4.42
80401,1774,"41,913",4.23
80128,2330,"37,117",6.28
80003,2113,"36,258",5.83
80021,1361,"36,176",3.76
80004,1575,"35,608",4.42
80227,1744,"35,567",4.9
80228,2040,"35,091",5.81
80226,1609,"33,142",4.85
80005,1272,"28,909",4.4
80033,1352,"26,618",5.08
80214,1304,"26,493",4.92
80439,833,"24,711",3.37
80232,822,"22,352",3.68
80403,1313,"20,831",6.3
80002,1149,"19,724",5.83
80215,995,"19,908",5
80007,1198,"17,132",6.99
80465,647,"16,196",3.99
80235,434,"8,639",5.02
80433,327,"8,209",3.98
80470,162,"3,684",4.4
80454,23,"1,529",1.5
80457,20,728,2.75
80453,8,259,3.09
80425,1,137,0.73
